Symbol,Name,Sector
600018,上港集团,交通运输
600016,民生银行,金融
600015,华夏银行,金融
600011,华能国际,公用事业
600010,包钢股份,钢铁
600009,上海机场,交通运输
600004,白云机场,交通运输
600000,浦发银行,金融
300628,亿联网络,信息技术
300601,康泰生物,医药生物
300498,温氏股份,农林牧渔
300433,蓝思科技,电子设备
300413,芒果超媒,互联网
300408,三环集团,电子设备
300347,泰格医药,医药生物
300144,宋城演艺,休闲、生活及专业服务
300142,沃森生物,医药生物
300136,信维通信,电子设备
300124,汇川技术,机械设备
300122,智飞生物,医药生物
300059,东方财富,互联网
300033,同花顺,互联网
300015,爱尔眼科,医药生物
300014,亿纬锂能,有色金属
300003,乐普医疗,医药生物
003816,中国广核,公用事业
002958,青农商行,金融
002945,华林证券,金融
002939,长城证券,金融
002938,鹏鼎控股,电子设备
002916,深南电路,电子设备
002841,视源股份,电子设备
002773,康弘药业,医药生物
002739,万达电影,文化传媒
002736,国信证券,金融
002714,牧原股份,农林牧渔
002673,西部证券,金融
002624,完美世界,互联网
002607,中公教育,文化传媒
002602,世纪华通,互联网
002601,龙蟒佰利,基础化工
002594,比亚迪,交运设备
002558,巨人网络,互联网
002555,三七互娱,互联网
002508,老板电器,家电
002493,荣盛石化,基础化工
002475,立讯精密,电子设备
002468,申通快递,交通运输
002466,天齐锂业,有色金属
002463,沪电股份,电子设备
002460,赣锋锂业,有色金属
002456,欧菲光,电子设备
002422,科伦药业,医药生物
002415,海康威视,信息技术
002410,广联达,信息技术
002371,北方华创,电子设备
002352,顺丰控股,交通运输
002311,海大集团,农林牧渔
002304,洋河股份,食品饮料
002271,东方雨虹,建材
002252,上海莱士,医药生物
002241,歌尔股份,电子设备
002236,大华股份,信息技术
002230,科大讯飞,信息技术
002202,金风科技,电气设备
002179,中航光电,电子设备
002157,正邦科技,农林牧渔
002153,石基信息,信息技术
002146,荣盛发展,房地产
002142,宁波银行,金融
002129,中环股份,电气设备
002120,韵达股份,交通运输
002050,三花智控,家电
002044,美年健康,医药生物
002032,苏泊尔,家电
002027,分众传媒,互联网
002024,苏宁易购,商贸零售
002008,大族激光,电子设备
002007,华兰生物,医药生物
002001,新和成,医药生物
001979,招商蛇口,房地产
000977,浪潮信息,信息技术
000963,华东医药,医药生物
000961,中南建设,房地产
000938,紫光股份,信息技术
000895,双汇发展,食品饮料
000876,新希望,农林牧渔
000860,顺鑫农业,食品饮料
000858,五粮液,食品饮料
000786,北新建材,建材
000783,长江证券,金融
000776,广发证券,金融
000768,中航飞机,国防与装备
000728,国元证券,金融
000725,京东方A,电子设备
000723,美锦能源,化石能源
000709,河钢股份,钢铁
000708,中信特钢,钢铁
000703,恒逸石化,基础化工
000671,阳光城,房地产
000661,长春高新,医药生物
000656,金科股份,房地产
000651,格力电器,家电
000627,天茂集团,金融
000625,长安汽车,交运设备
000596,古井贡酒,食品饮料
000568,泸州老窖,食品饮料
000538,云南白药,医药生物
000425,徐工机械,机械设备
000338,潍柴动力,交运设备
000333,美的集团,家电
000166,申万宏源,金融
000157,中联重科,机械设备
000100,TCL科技,家电
000069,华侨城A,房地产
000066,中国长城,信息技术
000063,中兴通讯,信息技术
000002,万科A,房地产
000001,平安银行,金融
